--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.139  000.139: event init
000.390  000.251: early init
001.658  001.268: locale set
001.784  000.127: init first window
005.231  003.446: inits 1
005.253  000.022: window checked
005.265  000.012: parsing arguments
005.774  000.032  000.032: require('vim.shared')
005.829  000.018  000.018: require('vim.inspect')
005.851  000.018  000.018: require('vim._options')
005.852  000.076  000.040: require('vim._editor')
005.853  000.156  000.047: require('vim._init_packages')
005.854  000.433: init lua interpreter
008.254  002.399: expanding arguments
008.273  000.020: inits 2
008.486  000.213: init highlight
008.569  000.083: clear screen
008.703  000.017  000.017: require('vim.keymap')
009.915  000.250  000.250: sourcing nvim_exec2()
010.148  001.577  001.310: require('vim._defaults')
010.149  000.003: init default mappings & autocommands
016.894  000.044  000.044: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/ftplugin.vim
020.324  000.023  000.023: sourcing /opt/homebrew/Cellar/neovim/0.11.3/share/nvim/runtime/indent.vim
021.591  000.003  000.003: sourcing nvim_exec2() called at /Users/fabiankellner/.config/nvim/init.lua:0
021.750  000.390  000.387: require('friendsfriend.core.options')
022.011  000.260  000.260: require('friendsfriend.keymap.core')
022.012  001.411  000.761: require('friendsfriend.core')
027.960  005.245  005.245: require('lazy')
028.014  000.008  000.008: require('ffi')
028.049  000.021  000.021: require('vim.fs')
033.131  005.081  005.081: require('vim.uri')
033.139  005.124  000.022: require('vim.loader')
037.034  003.831  003.831: require('lazy.stats')
040.000  002.906  002.906: require('lazy.core.util')
043.147  003.146  003.146: require('lazy.core.config')
049.057  002.987  002.987: require('lazy.core.handler')
057.979  002.843  002.843: require('lazy.pkg')
057.983  005.900  003.057: require('lazy.core.meta')
057.989  008.930  003.030: require('lazy.core.plugin')
057.995  014.847  002.930: require('lazy.core.loader')
071.189  003.112  003.112: require('lazy.async')
077.359  003.130  003.130: require('lazy.manage.process')
079.106  001.744  001.744: require('lazy.terminal')
079.110  007.919  003.045: require('lazy.manage.task')
079.112  014.002  002.971: require('lazy.manage.runner')
